module	name	pathway group	Algiphilus_aromaticivorans_DG1253_APAlg.faa.ko	Algiphilus_sp_SW459_GCF_023145115.1.faa.ko	Arenibacter_algicola_GCF_002234495.1.faa.ko	Arenibacter_algicola_GCF_006789585.1.faa.ko	Arenibacter_algicola_GCF_018860365.1.faa.ko	Arenibacter_algicola_TG409_APAre.faa.ko	Arenibacter_echinorum_GCF_003259375.1.faa.ko	Arenibacter_sp_NBRC_GCF_001748465.2.faa.ko	Halomonas_alkaliantarctica_GCF_029854215.1.faa.ko	Halomonas_hibernica_GCF_013183775.1.faa.ko	Halomonas_sp._TG39a_APHal.faa.ko	Halomonas_ventosae_GCF_002257525.1.faa.ko	Halomonas_ventosae_GCF_004363555.1.faa.ko	Marinobacter_algicola_DG893_GCF_000170835.1.faa.ko	Marinobacter_salarius_GCF_000831005.1.faa.ko	Marinobacter_salarius_GCF_002116735.1.faa.ko	Marinobacter_salarius_GCF_003986605.1.faa.ko	Marinobacter_sediminicola_GCF_031157525.1.faa.ko	Marinobacter_sp_strain_MCTG268_APMar.faa.ko	Marinobacter_xiaoshiensis_GCF_031631795.1.faa.ko	Oceanicola_granulosus_HTCC2516_GCF_000153305.1.faa.ko	Oceanicola_sp._D3_GCF_006351965.1.faa.ko	Oceanicola_sp_MCTG1561a_APOce.faa.ko	Porticoccus_hydrocarbonoclasticus_MCTG13d_APPor.faa.ko	Porticoccus_litoralis_GCF_030676955.1.faa.ko	Roseovarius_indicus_GCF_008728195.1.faa.ko	Roseovarius_mucosus_DSM_17069_GCF_000768555.3.faa.ko	Roseovarius_nanhaiticus_GCF_900156535.1.faa.ko	Roseovarius_sp_217_GCF_000152845.1.faa.ko	Roseovarius_sp_GCF_018066915.1.faa.ko	Roseovarius_sp_MCTG1562b_APRos.faa.ko
M00015	Proline biosynthesis, glutamate => proline	Arginine and proline metabolism	33.33	33.33	33.33	33.33	33.33	33.33	33.33	33.33	66.67	66.67	66.67	66.67	66.67	66.67	100.0	66.67	66.67	100.0	66.67	100.0	66.67	66.67	66.67	33.33	66.67	66.67	66.67	66.67	66.67	66.67	66.67
M00028	Ornithine biosynthesis, glutamate => ornithine	Arginine and proline metabolism	80.0	80.0	50.0	50.0	50.0	50.0	50.0	50.0	75.0	80.0	80.0	80.0	80.0	80.0	60.0	80.0	80.0	80.0	80.0	75.0	75.0	80.0	80.0	100.0	80.0	100.0	100.0	80.0	100.0	80.0	80.0
M00029	Urea cycle	Arginine and proline metabolism	40.0	40.0	0.0	0.0	0.0	0.0	20.0	0.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	60.0	40.0	40.0	40.0	40.0	40.0	40.0
M00047	Creatine pathway	Arginine and proline metabolism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00763	Ornithine biosynthesis, mediated by LysW, glutamate => ornithine	Arginine and proline metabolism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00844	Arginine biosynthesis, ornithine => arginine	Arginine and proline metabolism	66.67	66.67	0.0	0.0	0.0	0.0	33.33	0.0	66.67	66.67	66.67	66.67	66.67	66.67	66.67	66.67	66.67	66.67	66.67	66.67	66.67	66.67	66.67	66.67	100.0	66.67	66.67	66.67	66.67	66.67	66.67
M00845	Arginine biosynthesis, glutamate => acetylcitrulline => arginine	Arginine and proline metabolism	14.29	14.29	14.29	14.29	14.29	14.29	14.29	14.29	14.29	28.57	14.29	14.29	14.29	14.29	14.29	14.29	14.29	28.57	14.29	28.57	14.29	28.57	14.29	28.57	42.86	28.57	28.57	14.29	28.57	14.29	14.29
M00879	Arginine succinyltransferase pathway, arginine => glutamate	Arginine and proline metabolism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	100.0	60.0	60.0	100.0	100.0	80.0	80.0	80.0	100.0	100.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00022	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	Aromatic amino acid metabolism	71.43	71.43	71.43	71.43	71.43	71.43	71.43	71.43	71.43	57.14	57.14	57.14	57.14	85.71	85.71	85.71	85.71	71.43	85.71	71.43	71.43	71.43	71.43	57.14	71.43	71.43	71.43	71.43	71.43	71.43	71.43
M00023	Tryptophan biosynthesis, chorismate => tryptophan	Aromatic amino acid metabolism	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	100.0	100.0	100.0	75.0	75.0	66.67	75.0	75.0	50.0	75.0	75.0	75.0	40.0	75.0	75.0	100.0	75.0	75.0	75.0	75.0	75.0	75.0
